Test Case ID,Test Scenario,Test Case Title,Pre-requisites,Test Steps,Test Data,Expected Result (ER),Actual Result,Priority,Result,Comments,Test Technique
<< Test Scenarios,,,,,,,,,,,
TC_LF_001,"(TS_002) 
Login Functionality",Validate logging into the Application using valid credentials,"1. Open the Application URL (https://demo.opencart.com) in any supported Browser
2. Login credentials for an existing account are required
","1. Click on 'My Account' Dropmenu
2. Click on 'Login' option (Validate ER-1)
3. Enter valid email address into the 'E-Mail Address' field - <Refer Test Data>
4. Enter valid password into the 'Password' field - <Refer Test Data>
5. Click on 'Login' button (Validate ER-2)
","Email Address - hoangga@gmail.com

Password -
12345
","1.User should be navigated to Login page
2.User should get logged in and taken to the 'Account' page","1. User is navigated to Login page
2.User got logged in and taken to the 'Account' page",P1,PASS,,EP
TC_LF_002,"(TS_002) 
Login Functionality",Validate logging into the Application using invalid credentials (i.e. Invalid email address and Invalid Password),Open the Application URL (https://demo.opencart.com) in any supported Browser,"1. Click on 'My Account' Dropmenu
2. Click on 'Login' option 
3. Enter invalid email address into the 'E-Mail Address' field - <Refer Test Data>
4. Enter invalid password into the 'Password' field - <Refer Test Data>
5. Click on 'Login' button (Validate ER-1)","Email Address - xyzabc123@gmail.com

Password - 
xyzabc123",1. Warning message with the text 'Warning: No match for E-Mail Address and/or Password.' should be displayed,Warning message with the text 'Warning: No match for E-Mail Address and/or Password.' got displayed,P1,PASS,,EP
TC_LF_003,"(TS_002) 
Login Functionality",Validate logging into the Application using invalid email address and valid Password),Open the Application URL (https://demo.opencart.com) in any supported Browser,"1. Click on 'My Account' Dropmenu
2. Click on 'Login' option 
3. Enter invalid email address into the 'E-Mail Address' field - <Refer Test Data>
4. Enter valid password into the 'Password' field - <Refer Test Data>
5. Click on 'Login' button (Validate ER-1)","Email Address - xyzabc123@gmail.com

Password - 
12345",1. Warning message with the text 'Warning: No match for E-Mail Address and/or Password.' should be displayed,Warning message with the text 'Warning: No match for E-Mail Address and/or Password.' got displayed,P1,PASS,,EP
TC_LF_004,"(TS_002) 
Login Functionality",Validate logging into the Application using valid email address and invalid Password),Open the Application URL (https://demo.opencart.com) in any supported Browser,"1. Click on 'My Account' Dropmenu
2. Click on 'Login' option 
3. Enter valid email address into the 'E-Mail Address' field - <Refer Test Data>
4. Enter invalid password into the 'Password' field - <Refer Test Data>
5. Click on 'Login' button (Validate ER-1)","Email Address - hoangga@gmail.com

Password -
xyzabc123
",1. Warning message with the text 'Warning: No match for E-Mail Address and/or Password.' should be displayed,Warning message with the text 'Warning: No match for E-Mail Address and/or Password.' got displayed,P1,PASS,,EP
TC_LF_005,"(TS_002) 
Login Functionality",Validate logging into the Application without providing any credentials,Open the Application URL (https://demo.opencart.com) in any supported Browser,"1. Click on 'My Account' Dropmenu
2. Click on 'Login' option 
3. Don't enter anything into the 'E-Mail Address' field
4. Don't enter anything into the 'Password' field
5. Click on 'Login' button (Validate ER-1)",Not Applicable,1. Warning message with the text 'Warning: No match for E-Mail Address and/or Password.' should be displayed,Warning message with the text 'Warning: No match for E-Mail Address and/or Password.' got displayed,P1,PASS,,EP
TC_LF_006,"(TS_002) 
Login Functionality",Validate 'Forgotten Password' link is available in the Login page and is working,Open the Application URL (https://demo.opencart.com) in any supported Browser,"1. Click on 'My Account' Dropmenu
2. Click on 'Login' option (ER-1)
3. Click on 'Forgotten Password' link (ER-2)",Not Applicable,"1. User should be taken to 'Login' page and 'Forgotten Password' link should be displayed in the page
2. User should be taken to 'Forgotten Password' page","1. User is taken to 'Login' page and 'Forgotten Password' link should be displayed in the page
2. User is taken to 'Forgotten Password' page",P3,PASS,,Checklist
TC_LF_007,"(TS_002) 
Login Functionality",Validate logging into the Application using Keyboard keys (Tab and Enter),Open the Application URL (https://demo.opencart.com) in any supported Browser,"1. Click on 'My Account' Dropmenu
2. Click on 'Login' option 
3. Press Tab keyboard key until the control comes to the E-Mail Address text field and enter the valid email address - <Refer Test Data>
4. Press Tab keyboard key to move the control to Password text field and enter the valid password - <Refer Test Data>
5. Press Tab keyboard key until the control comes 'Login' button and press 'Enter' key to submit (ER-1)",Not Applicable,1. User should be able to log into the application,User is able to log into the application,P3,PASS,,
TC_LF_008,"(TS_002) 
Login Functionality",Validate E-Mail Address and Password text fields in the Login page have the place holder text,Open the Application URL (https://demo.opencart.com) in any supported Browser,"1. Click on 'My Account' Dropmenu
2. Click on 'Login' option (ER-1)",Not Applicable,1. Proper place holder text should be displayed inside the 'E-Mail Address' and 'Password' text fields,Proper place holder text is displayed inside the 'E-Mail Address' and 'Password' text fields,P3,PASS,,Checklist
TC_LF_009,"(TS_002) 
Login Functionality",Validate Logging into the Application and browsing back using Browser back button,Open the Application URL (https://demo.opencart.com) in any supported Browser,"1. Click on 'My Account' Dropmenu
2. Click on 'Login' option
3. Enter valid email address into the 'E-Mail Address' field - <Refer Test Data>
4. Enter valid password into the 'Password' field - <Refer Test Data>
5. Click on 'Login' button 
6. Click on Browser back button (ER-1)
","Email Address - hoangga@gmail.com

Password -
12345
",1. User should not logged out,1. User is getting logged out,P3,FAIL,OPENCART-BUG-7,
TC_LF_010,"(TS_002) 
Login Functionality",Validate Loggingout from the Application and browsing back using Browser back button,Open the Application URL (https://demo.opencart.com) in any supported Browser,"1. Click on 'My Account' Dropmenu
2. Click on 'Login' option
3. Enter valid email address into the 'E-Mail Address' field - <Refer Test Data>
4. Enter valid password into the 'Password' field - <Refer Test Data>
5. Click on 'Login' button 
6. Click on 'My Account' Dropmenu and select 'Logout' option 
7. Click on Browser back button (ER-1)
","Email Address - hoangga@gmail.com

Password -
12345
",1. User should not get loggedin again,1. User is getting loggged in,P2,FAIL,OPENCART-BUG-8,
TC_LF_011,"(TS_002) 
Login Functionality",Validate logging into the Application using inactive credentials,Open the Application URL (https://demo.opencart.com) in any supported Browser,"1. Click on 'My Account' Dropmenu
2. Click on 'Login' option
3. Enter valid email address of an inactive account into the 'E-Mail Address' field - <Refer Test Data>
4. Enter valid password of an inactive account into the 'Password' field - <Refer Test Data>
5. Click on 'Login' button (ER-1)",Test Data for this is pending,1. User should not be able to login,,P2,Blocked,Unable to test as we don't have the credentails of an inactive account for testing it,EP
TC_LF_012,"(TS_002) 
Login Functionality",Validate the number of unsucessful login attemps,Open the Application URL (https://demo.opencart.com) in any supported Browser,"1. Click on 'My Account' Dropmenu
2. Click on 'Login' option 
3. Enter invalid email address into the 'E-Mail Address' field - <Refer Test Data>
4. Enter invalid password into the 'Password' field - <Refer Test Data>
5. Click on 'Login' button 
6. Repeat Step 5 for 4 more times (ER-1)
","Email Address - xyzabc123@gmail.com

Password - 
xyzabc123",1. Warning message with the text ' Warning: Your account has exceeded allowed number of login attempts. Please try again in 1 hour.' should be displayed for the 5th time of clicking the 'Login' button with the same invalid credentials,Warning message with the text ' Warning: Your account has exceeded allowed number of login attempts. Please try again in 1 hour.' is displayed for the 5th time of clicking the 'Login' button with the same invalid credentials,P2,PASS,,BVE
