Test Case ID,Test Scenario,Test Case Title,Pre-requisites,Test Steps,Test Data,Expected Result (ER),Actual Result,Priority,Result,Comments,Test Technique
<< Test Scenarios,,,,,,,,,,,
TC_RF_001,"(TS_001) 
Register Functionality",Validate Registering an Account by providing only the Mandatory fields,1. Open the Application (https://demo.opencart.com) in any Browser,"1. Click on 'My Account' Drop menu
2. Click on 'Register' option 
3. Enter new Account Details into the Mandatory Fields (First Name, Last Name, E-Mail,Telephone, Password, Password Confirm and  Privacy Policy Fields)
4. Click on 'Continue' button (ER-1)
5. Click on 'Continue' button that is displayed in the 'Account Success' page (ER-2)",Not Applicable,"1. User should be logged in,  taken to 'Account Succcess' page and proper details should be displayed on the page
2. User should be taken to 'Account' page and a confirm email should be sent to the registed email address","1. User got logged in,  taken to 'Account Succcess' page sucessfully and proper details got displayed on the page
2. User is taken to 'Account' page and a confirm email received at the registed email address",P1,PASS,,EP
TC_RF_002,"(TS_001) 
Register Functionality",Validate 'Thank you for registering' email is sent to the registered email address as a confirmation for registering the account,1. Open the Application (https://demo.opencart.com) in any Browser,"1. Click on 'My Account' Drop menu
2. Click on 'Register' option 
3. Enter new Account Details into the Mandatory Fields (First Name, Last Name, E-Mail,Telephone, Password, Password Confirm and  Privacy Policy Fields)
4. Click on 'Continue' button  
5. Check the email address used for registering the account (Verify ER-1, ER-2. ER-3)
6. Click on the Login page link from the Email body (Verify ER-4)",Not Applicable,"1. Validate a confirmation email for registering the account is sent to the registered email address. 
2. Validate the Email subject, body and from address of the received email.
3. Validate there is a link to the login page provided in the Email body
4. User should be taken to the Login page",1. User has not received any email to his registered email address,P2,FAIL,OPENCART-BUG-1,
TC_RF_003,"(TS_001) 
Register Functionality",Validate Registering an Account by providing all the fields,1. Open the Application (https://demo.opencart.com) in any Browser,"1. Click on 'My Account' Drop menu
2. Click on 'Register' option 
3. Enter new Account Details into all the Fields (First Name, Last Name, E-Mail,Telephone, Password, Password Confirm, Newsletter and  Privacy Policy Fields)
4. Click on 'Continue' button (ER-1)
5. Click on 'Continue' button that is displayed in the 'Account Success' page (ER-2)",Not Applicable,"1. User should be logged in,  taken to 'Account Succcess' page and proper details should be displayed on the page
2. User should be taken to 'Account' page ","1. User got logged in,  taken to 'Account Succcess' page sucessfully and proper details got displayed on the page
2. User is taken to 'Account' page and a confirm email received at the registed email address",P2,PASS,,EP
TC_RF_004,"(TS_001) 
Register Functionality","Validate proper notification messages are displayed for the mandatory fields, when you don't provide any fields in the 'Register Account' page and submit",1. Open the Application (https://demo.opencart.com) in any Browser,"1. Click on 'My Account' Drop menu
2. Click on 'Register' option 
3. Don't enter anything into the fields
4. Click on 'Continue' button (ER-1)
",Not Applicable,"1. The below warning messages should be displayed for the respective fields:
For First Name field, the warning message 'First Name must be between 1 and 32 characters!' should be displayed
For Last Name field, the warning message 'Last Name must be between 1 and 32 characters!' should be displayed
For E-Mail field, the warning message 'E-Mail Address does not appear to be valid!' should be displayed
For Telephone field, the warning message 'Telephone must be between 3 and 32 characters!' should be displayed
For Password field, the warning message 'Password must be between 4 and 20 characters!' should be displayed
For Privacy Policy field, the warning message 'Warning: You must agree to the Privacy Policy!' should be displayed on the top",1. Warning messages got dispalyed as written in the Expected Results,P3,PASS,,BVE
TC_RF_005,"(TS_001) 
Register Functionality",Validate Registering an Account when 'Yes' option is selected for Newsletter field,1. Open the Application (https://demo.opencart.com) in any Browser,"1. Click on 'My Account' Drop menu
2. Click on 'Register' option 
3. Enter new Account Details into all the Fields (First Name, Last Name, E-Mail,Telephone, Password, Password Confirm and  Privacy Policy Fields)
4.Click on 'Yes' radio option for Newsletter 
5. Click on 'Continue' button (ER-1)
6. Click on 'Continue' button that is displayed in the 'Account Success' page (ER-2)
7. Click on 'Subscribe/unsubscribe to newsletter' option (ER-3)",Not Applicable,"1. User should be logged in,  taken to 'Account Succcess' page and proper details should be displayed on the page
2. User should be taken to 'Account' page 
3. 'Yes' option should be displayed as selected by default in the Newsletter page","1. User got logged in,  taken to 'Account Succcess' page sucessfully and proper details got displayed on the page
2. User is taken to 'Account' page and a confirm email received at the registed email address
3. 'Yes' option is displayed as selected by default in the Newsletter page",P3,PASS,,EP
TC_RF_006,"(TS_001) 
Register Functionality",Validate Registering an Account when 'No' option is selected for Newsletter field,1. Open the Application (https://demo.opencart.com) in any Browser,"1. Click on 'My Account' Drop menu
2. Click on 'Register' option 
3. Enter new Account Details into all the Fields (First Name, Last Name, E-Mail,Telephone, Password, Password Confirm and  Privacy Policy Fields)
4.Click on 'No'  radio option for Newsletter 
5. Click on 'Continue' button (ER-1)
6. Click on 'Continue' button that is displayed in the 'Account Success' page (ER-2)
7. Click on 'Subscribe/unsubscribe to newsletter' option (ER-3)",Not Applicable,"1. User should be logged in,  taken to 'Account Succcess' page and proper details should be displayed on the page
2. User should be taken to 'Account' page 
3. 'No' option should be displayed as selected by default in the Newsletter page","1. User got logged in,  taken to 'Account Succcess' page sucessfully and proper details got displayed on the page
2. User is taken to 'Account' page and a confirm email received at the registed email address
3. 'No' option is displayed as selected by default in the Newsletter page",P3,PASS,,EP
TC_RF_007,"(TS_001) 
Register Functionality",Validate different ways of navigating to 'Register Account' page,1. Open the Application (https://demo.opencart.com) in any Browser,"1. Click on 'My Account' Drop menu
2. Click on 'Register' option (ER-1) 
3. Click on 'My Account' Drop menu
4. Click on 'Login' option 
5. Click  on 'Continue' button inside 'New Customer' box (ER-1) 
6. Repeat Steps 3 and 4
7. Click on 'Register' option from the Right Column options (ER-1) ",Not Applicable,1. User should be taken to 'Register Account' page,1 User is taken to the 'Register Account' page,P3,PASS,,Checklist
TC_RF_008,"(TS_001) 
Register Functionality",Validate Registering an Account by entering different passwords into 'Password' and 'Password Confirm' fields,1. Open the Application (https://demo.opencart.com) in any Browser,"1. Click on 'My Account' Drop menu
2. Click on 'Register' option 
3. Enter new Account Details into all the Fields (First Name, Last Name, E-Mail,Telephone, Newsletter and  Privacy Policy Fields)
4. Enter any password say '12345' into the 'Password' field
5. Enter any different password say 'abcde' into the 'Passsword Confirm' field
6. Click on 'Continue' button (ER-1)",Not Applicable,"1.Account should not be created, instead a warning message - 'Password confirmation does not match password!' should be displayed under 'Password Confirm' field",1. Warning messages as specified in the Expected Results got displayed,P3,PASS,,EP
TC_RF_009,"(TS_001) 
Register Functionality",Validate Registering an Account by providing the existing account details (i.e. existing email address),1. Open the Application (https://demo.opencart.com) in any Browser,"1. Click on 'My Account' Drop menu
2. Click on 'Register' option 
3. Enter existing Account Details into all the Fields (First Name, Last Name, E-Mail,Telephone, Password, Password Confirm, Newsletter and  Privacy Policy Fields) - <Refer Test Data>
4. Click on 'Continue' button (ER-1)","First Name - Pavan
Last Name - B
E-Mail - hoangga714@gmail.com
Telephone - 814240XXXX
Password - 12345
Password Confirm - 12345","1. Account should not be created again, instead the warning messsage -  'Warning: E-Mail Address is already registered!' should be displayed",1. Warning messages as specified in the Expected Results got displayed,P3,PASS,,EP
